bank,quarter,total_outflows_computed,total_outflows_disclosed,outflows_gap,total_inflows_computed,total_inflows_disclosed,inflows_gap,inflow_cap_75pct,inflow_cap_binding,net_outflows_computed,net_outflows_disclosed,net_outflows_gap,lcr_computed_pct,lcr_disclosed_pct,lcr_gap_pct_points
HDFC Bank,2025-06-30,8843979.38,8843979.38,-0.0,2386159.97,2386159.97,0.0,6632984.53,False,6457819.41,6457819.41,-0.0,123.78,123.78,0.0
HDFC Bank,2025-09-30,8862912.48,8862912.48,0.0,2059387.4,2059387.4,0.0,6647184.36,False,6803525.08,6383976.12,419548.96,112.33,119.72,-7.39
HDFC Bank,2025-12-31,9108733.07,9108733.07,-0.0,2658836.23,2658836.23,0.0,6831549.8,False,6449896.84,6449896.84,-0.0,116.06,116.06,0.0
HDFC Bank,2026-03-31,9587803.77,9587803.77,0.0,2758786.91,2758786.91,0.0,7190852.83,False,6829016.86,6829016.86,-0.0,113.54,113.54,0.0
HDFC Bank,2026-06-30,10152057.19,10152057.19,0.0,2861624.82,2861624.82,0.0,7614042.89,False,7290432.37,7290432.37,0.0,115.0,115.0,0.0
IndusInd Bank,2025-06-30,130837.89,130837.9,-0.01,34953.1,34953.1,0.0,98128.42,False,95884.79,95884.8,-0.01,141.28,141.28,0.0
IndusInd Bank,2025-09-30,141746.86,141746.85,0.01,44903.43,44903.43,0.0,106310.14,False,96843.43,96843.43,0.0,132.08,132.08,0.0
IndusInd Bank,2025-12-31,143235.36,143235.37,-0.01,50581.33,50581.33,0.0,107426.52,False,92654.03,92654.04,-0.01,121.91,121.91,0.0
IndusInd Bank,2026-03-31,143424.99,143424.99,0.0,46336.02,46336.02,0.0,107568.74,False,97088.97,97088.97,0.0,117.99,117.99,0.0
IndusInd Bank,2026-06-30,137399.71,137399.71,0.0,54284.03,54284.03,0.0,103049.78,False,83115.68,83115.68,0.0,126.66,126.66,0.0
