quarter,row_id,label,unweighted,weighted,bank,source_file,unit,unweighted_inr_crore,weighted_inr_crore
2026-06-30,1,Total High Quality Liquid Assets,,8383912.73,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,,838391.273
2026-03-31,1,Total High Quality Liquid Assets,,7753881.71,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,,775388.1710000001
2026-06-30,2,Retail deposits,17848488.79,1983230.69,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,1784848.879,198323.06900000002
2026-03-31,2,Retail deposits,17364972.51,1510590.18,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,1736497.2510000002,151059.018
2026-06-30,2i,Stable deposits,4003221.01,292272.64,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,400322.101,29227.264000000003
2026-03-31,2i,Stable deposits,4518141.41,225907.07,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,451814.14100000006,22590.707000000002
2026-06-30,2ii,Less stable deposits,13845267.78,1690958.05,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,1384526.778,169095.80500000002
2026-03-31,2ii,Less stable deposits,12846831.1,1284683.11,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,1284683.11,128468.31100000002
2026-06-30,3,Unsecured wholesale funding,8837489.34,4987440.89,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,883748.934,498744.089
2026-03-31,3,Unsecured wholesale funding,8044855.79,5081706.99,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,804485.579,508170.699
2026-06-30,3i,Operational deposits,0.0,0.0,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,0.0,0.0
2026-03-31,3i,Operational deposits,0.0,0.0,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,0.0,0.0
2026-06-30,3ii,Non-operational deposits,8634540.62,4784492.17,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,863454.0619999999,478449.217
2026-03-31,3ii,Non-operational deposits,7864795.76,4901646.96,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,786479.576,490164.696
2026-06-30,3iii,Unsecured debt,202948.72,202948.72,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,20294.872000000003,20294.872000000003
2026-03-31,3iii,Unsecured debt,180060.03,180060.03,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,18006.003,18006.003
2026-06-30,4,Secured wholesale funding,,97854.53,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,,9785.453
2026-03-31,4,Secured wholesale funding,,86794.58,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,,8679.458
2026-06-30,5,Additional requirements,3028205.84,1944705.63,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,302820.584,194470.563
2026-03-31,5,Additional requirements,2928142.77,1832613.23,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,292814.277,183261.323
2026-06-30,5i,collateral,1773933.92,1773933.92,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,177393.392,177393.392
2026-03-31,5i,collateral,1685809.02,1685809.02,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,168580.902,168580.902
2026-06-30,5ii,loss of funding,0.0,0.0,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,0.0,0.0
2026-03-31,5ii,loss of funding,0.0,0.0,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,0.0,0.0
2026-06-30,5iii,Credit and liquidity facilities,1254271.92,170771.71,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,125427.192,17077.171
2026-03-31,5iii,Credit and liquidity facilities,1242333.75,146804.21,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,124233.375,14680.421
2026-06-30,6,Other contractual funding,509823.64,509823.64,HDFC Bank,hdfc_bank_q1fy26_jun2026.pdf,million,50982.364,50982.364
