bank,quarter,retail_deposits,wholesale_unsecured_funding,funding_base_ex_secured,retail_pct_of_funding_base,wholesale_pct_of_funding_base,less_stable_pct_of_retail,stable_pct_of_retail,non_operational_pct_of_wholesale,operational_pct_of_wholesale,unsecured_debt_pct_of_wholesale
HDFC Bank,2025-06-30,16005984.91,7253897.85,23259882.759999998,68.81,31.19,76.14,23.86,97.6,0.0,2.4
HDFC Bank,2025-09-30,16571420.06,7292362.12,23863782.18,69.44,30.56,75.37,24.63,97.8,0.0,2.2
HDFC Bank,2025-12-31,17004288.96,7465533.14,24469822.1,69.49,30.51,73.86,26.14,97.67,0.0,2.33
HDFC Bank,2026-03-31,17364972.51,8044855.79,25409828.3,68.34,31.66,73.98,26.02,97.76,0.0,2.24
HDFC Bank,2026-06-30,17848488.79,8837489.34,26685978.13,66.88,33.12,77.57,22.43,97.7,0.0,2.3
IndusInd Bank,2025-06-30,180678.05,132306.54,312984.58999999997,57.73,42.27,95.34,4.66,100.0,0.0,0.0
IndusInd Bank,2025-09-30,180475.08,133435.34,313910.42,57.49,42.51,95.23,4.77,100.0,0.0,0.0
IndusInd Bank,2025-12-31,180112.67,133377.24,313489.91000000003,57.45,42.55,95.16,4.84,100.0,0.0,0.0
IndusInd Bank,2026-03-31,182898.23,136344.02,319242.25,57.29,42.71,95.2,4.8,100.0,0.0,0.0
IndusInd Bank,2026-06-30,190165.36,131444.03,321609.39,59.13,40.87,95.3,4.7,100.0,0.0,0.0
